texts,labels
Como cometer suicídio sem dx a mãe triste,0
Estou nova demais p cometer esse suicídio,0
"""Nunca dirijo meu carro por cima de uma ponte sem pensar em suicídio. Quero dizer, não fico pensando nisso. Mas passa pela minha cabeça: suicídio”.",0
"Nem imagino como seria minha vida sem esse gato. Ele chegou num momento bem delicado, eu tinha tentado suicídio pela terceira e última vez. Foi um período que só deus sabe, e, ter Petite me fortaleceu de uma maneira linda demais.",0
"A vida tá me testando para ver qual  vou cometer primeiro,suicídio ou homicídio.",0
gastei toda minha borracha só na aula de cálculo hj kkkkkkkkkkk  n vai mais dar suicídio eh a solução,0
nesse friozin bate mo vontade d faze aquilo q começa com s   suicidio,0
otimo dia pra cometer suicídio 😍,0
Eu não aguento mais! Ou organiza uma chacina ou um suicídio coletivo,0
"penso nele todo dia, mas meu maior medo é tentar me matar e não servir nem pra morrer",0
pago 50tao p quem me matar hj,0
eu to com muita cólica vou me matar,0
espero q o aquecimento global não demore mt p me matar pois n aguento mais,0
"Enquanto minha vida estiver uma merda , eu sempre terei vontade de me matar",0
"Vou te matar ! — Ainda não, deixa que o mundo vai acabar por me matar se não fizerem nada parabéns o proteger!!!",0
Vou me matar pq errei coisa idiota na folinha,0
quinta feira é um lixo pode me matar agora mesmo,0
quem pegou meu fone me devolve se não eu vou me matar,0
Ele acabou com meu psicológico e eu tinha surtos intensos de quase me matar. Eu tentei perdoar ele mas não consigo.,0
hoje eu to só o meme não entendi vou me matar,0
cansei vou me matar,0
Se eu ouvir enfim mais uma vez eu vou me matar,0
vou me matar,0
odeio latim vou me matar,0
Eu tentei mas eu percebi q eu não presto nem pra me matar,0
eu vo me matar e todos dirão que é piada,0
"4 anos atrás eu tentei me matar  3 anos atrás eu entrei no ensino medio e tava toda perdida 2 anos atrás eu tive muitas crises de ansiedade por causa da escola e vestibular 1 ano atrás eu me formei, nao fazia ideia doq queria fazer de faculdade e tava surtando +",0
se me der dor de barriga no curso vo me matar,0
“eu não to acreditando nisso não” sla deu vontade de me matar nessa hora,0
o mundo ta tao merda que eu nao to aguentando mais viver e a vontade de me matar ta só aumentando,0
Acabo de perder um job pq n falo Inglês fluente. Vou me matar pq n estudei mais nessa vida.,0
alguém faça o favor de me matar hoje,0
"Eu acabei de escrever uma ""carta de suicídio"" pro meu pai, pra ver se de alguma forma ele abre a porra do olho e vê que eu não tô ""legal"" pra ele fazer ou falar essas merdas(além de ter algo GRAVE), e pra ele abrir a porra da mente e ver com mais seriedade",0
Desabafar em letras que nunca vou lançar é basicamente minha carta de suicídio que em algum momento será lida,0
Você percebe que o dia não vai ser bom quando já levanta da cama com inspiração pra carta de suicídio,0
É triste mas eu tô fazendo minha carta de suicídio,0
"e ai, ja escreveram a carta de suicídio de vocês?",0
"agora que me caiu a ficha que domingo a noite eu fiz uma carta de suicídio, esqueci de entregar e dai falei ""ah foda-se"" e agi como se nada tivesse acontecido.",0
vou começar minha carta de suicídio hoje,0
aqui fazendo minha milésima carta de suicídio 😍😍😍😍😍😍😍,0
minha carta de suicídio de 2017 está uma merda kkkkkkkkkkkkk prometo que vou fazer uma melhor,0
Vou ali assinar minha carta de suicídio,0
