,0
0,"Tem dias que só cometendo um suicídio mesmo, na moral"
1,  Essa gente acha q suicídio é apenas vc se matar no sentido físico KKK já pararam para pensar q talvez a pessoa q está do…
2,Como que os cara tem coragem de argumentar qualquer defesa? Como que esse cara tem coragem de falar que foi suicidi… 
3,Eu vi gente postando sobre suicídio e chamando o amiguinho que tem depressão de fraco
4,   'Você sempre acha que alguém vai pular': o condutor de metrô que testemunhou 8 tentativas de suicídio …
5,"  A sociedade precisa se unir para salvar nossas crianças e adolescentes.

Diferenças ideológicas, partidárias ou religiosa…"
7,"  perder alguém é péssimo, perder alguém pra depressão/suicídio é pior ainda.. tá doendo mas uma hora passar. Não se aceita…"
8,"vcs ta afim de um role saudavel p saude mental n e tals? sei la

suicidio coletivo"
10,Tldr: se vc tem isso vc tem bem mais chance de cometer suicídio e ser neurótico
12,freddy vai ter pesadelo se ele invadir meu sonho porque lá vai ta escrito manual do suicídio.
13,Imagine o Brasil um avião com problemas em vôo. A solução é diminuir o peso. Resolve-se ejetar as duas turbinas pro… 
14,"Se você vive no Brasil, e acha que o  presidente que votou vai salvar o país da decadência da sociedade podre. Saib… "
15," Suicídio nao amore, tentativa pode até ser... Senao a senhora nao estaria na putariaaaaaa ate hoje kkk"
16,  eu comecei a assistir a 2° temporada e achei que a série perdeu a essência sabe? eu ach… 
17," Era só um suicídio mesmo, to pensando bem"
18,"Suicidio nunca é uma opção 
Ate vc estar à beira de um colapso"
19,  Se o Cuellar sair do Flamengo meu suicídio vem
20,E descobriram que o suicídio só piora a situação pois você cai na pirâmide de poder sexual-corpórea dos fantasmas que é pior do que essa.
21,"  A moça precisa de uma aula de psicologia, sociologia e educação sexual

Nao é possivel… "
23,que belo dia pra um suicídio não eh mesmo
24,"As vezes quem esta perto de você nao percebe que seu silêncio, e um suicídio, que aos poucos você esta morrendo"
25," Benja, o flavinho fala q a europa É O MELHOR LUGAR PARA SE MORAR. Pergunta pra ele onde ha mais caso… "
26,  Todo mundo é tão legal até que te leva a cometer suicídio.
27,     'Você sempre acha que alguém vai pular': o condutor de metrô que testemun… 
29,"SUICÍDIO NO VIADUTO JI PARANÁ !!!!

Uma mulher jovem 
(entre 20 a 25 anos) a ponto de pular.
A polícia e os bombeir… "
31," o programa é maravilhiso, menos quando começa o merchand da english town e trivago parando bizonhame… "
32, Piscina do suicídio?
33,"quase perdi meu riocard hj, estava ao ponto de cometer suicídio mas passo bem"
34,Três pessoas foram encontradas mortas por flechas disparadas por uma besta; polícia avalia hipótese de homicídio du… 
35,"  Completados dois meses da tragédia em Suzano, decidi hoje implementar aqui o projeto-piloto de prevenção à automutilação…"
36,sozinha e pensando em suicídio
37,"  Depressão é coisa séria! Se você precisa de ,  com alguém! Na , conte com a equipe do Telefone d…"
38,"  o jovem transformou a depressão e o suicídio em algo clichê
hoje em dia se você tem depressão ou fala em se matar
as pesso…"
39," Ainda acho suicídio lançar isso.
Além de ser tão longo, não vejo ninguém mais falando da obra."
40,"  além de gorda e feia
eu sou burra

suicídio é a única opção mano"
41,Quem quer brincar de suicídio coletivo põe o dedo aqui que a casinha vai fechar
42,"Meu ciclo de amizades é maravilhoso, só semana passada uma tentou suicídio, a outra foi atropelada, a outra caiu da escada e por aí vai"
44,"  Van Gogh bebia tinta amarela pq achava o amarelo uma cor feliz, ent ele pensava estar bebendo a felicidade 
mas na tinta contin…"
45,  5sos é a melhor banda do mundo sim eles falam de problemas sérios como depressão suicídio e ainda da apoio à comunidade lgbt…
47,andar de bike com a luma é suicídio mané
49,muito triste o que ta acontecendo na venezuela... por causa do chavismo a população tá sem anti depressivos a 3 ano… 
50,Uma hora estou planejando meu futuro na outra  meu suicídio.😞💔
51,"qual o intuito de palestras contra suicídio feita pelas escolas? no setembro amarelo choraram com um poema e o prof fingiu que nao viu, sfd"
52,"Depressão é coisa séria! Se você precisa de ,  com alguém! Na , conte com a equipe do T… "
53, 'Você sempre acha que alguém vai pular': o condutor de metrô que testemunhou 8 tentativas de suicídio 
54," A taxa de suicidio é muito maior com homens, pq a maioria sofre com a sociedade machista, e adivinh… "
55,acho que hj o suicidio sai
56,"Vivemos em um mundo onde:

bullying é brincadeira, suicídio é pra chamar atenção e depressão é drama"
57,duas aulas de português e matemática é pedir suicídio
58,  Testar quem não tem nada a perder é tipo suicídio
59,"É vdd que Taina tentou se matar? — Cara,pelo que eu soube ela tomou umas paradas lá, poxa me conhece a tanto tempo,… "
62,É inacreditável como sua vida pode mudar tanto em pouco tempo. Pensar que eu flertava com o suicídio até pouco temp… 
63,"o que marcou vcs em cada ano?

2012: animes e saga
2013: neo otaku
2014: C4 e namoro
2015: relacionamento abusivo f… "
64,"  🇺🇸 My people are desperate because of socialism.  It is increasingly common to see how they commit suicide.

🇧🇷 Meu po…"
67,essa minha mania de deixar tudo pra última hora ainda será motivo de suicídio
68,vontade daquilo que começa com s....suicídio
70,fazer redaçao e estudar portugues no mesmo dia = suicídio
71,Suicídio: pastora da Assembleia de Deus ignora apelos e se joga de viaduto 
73," Aiii era topíssimo esses patinetes! Era quase um suicídio andar, mas era tão legal!"
74,"eu NÃO ACREDITO que vendem camisetas estampadas com as palavras da carta de suicídio do kurt cobain

O SER HUMANO É UM LIXO"
75,SÃO LUÍS – MPMA promove fórum sobre prevenção ao suicídio  
76,SÃO LUÍS – MPMA promove fórum sobre prevenção ao suicídio  
77, a taxa de suicídio com os homens é maior pq em sua maioria eles são tão ruins uns com os outros. Se… 
80,hoje é um ótimo dia para cometer suicídio !
81,"além de gorda e feia
eu sou burra

suicídio é a única opção mano"
87,Tem umas aulas q a vontade é de cometer suicidio k k k k
89,  Muitos coelhos. Sem falar da dona da pensão que Adélio estava e foi assassinada. Faz lembrar o assaltante que levou até a arma…
92,"Acabem as pontes do mundo todo, as armas, as cordas e as drogas. Enquanto a saúde mental não for tratada, nada impede o suicídio."
94,Tá aí o que o governo surreal defende! 
95,"Workshop de debate, passei 2 h defendendo sozinha que suicídio assistido não deve ser legalizado pois é deus que de… "
99,"Estou evoluindo, antes pensava em suicídio 500 vezes no dia, ontem foi só 499."
101,Aquele Tweet do um dia planejando o futuro e no outro o suicidio nunca foi tão real
105,Esta aula e só um suicídio coletivo 🤦‍♂️🤦‍♂️
